"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"360507271349944321","","","","","2013-07-25 21:10:06 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AngularJS tips'n'tricks part 2 - revolunet blog http://t.co/UFJH6NIMwq","http://buff.ly/18FA2sP"
"360448706631315456","","","","","2013-07-25 17:17:23 +0000","<a href=""https://www.thunderclap.it"" rel=""nofollow"">Thunderclap</a>","Join me in celebrating #FirefoxOS, a new mobile operating system. Powered by the Web. Made by a non-profit. http://t.co/bHmW2PKotw","http://thndr.it/14cXLuT"
"360432784055087104","","","","","2013-07-25 16:14:06 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","More Git and GitHub Secrets http://t.co/yEzTW2Y6qo","http://buff.ly/1dXthzE"
"360085001724903424","","","","","2013-07-24 17:12:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Choosing an OSS license doesn’t need to be scary http://t.co/IAaeONMisv","http://buff.ly/19i9g9l"
"360070424605888512","","","360043261282369539","30813267","2013-07-24 16:14:13 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @andgarzon: Modern code testing for php http://t.co/Eeh0ykALOn","http://codeception.com/"
"360048931918446592","","","360039716395032576","15334840","2013-07-24 14:48:49 +0000","web","RT @potch: HTML5 Portability like a boss! https://t.co/XBbw4p8BjM","https://vine.co/v/hKJEruQrPXD"
"359450546760978432","","","","","2013-07-22 23:11:03 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Why Smart Software Teams Don’t Need Senior Developers, Tech Leads or Architects | Evolvable Me http://t.co/SJaEFOSXUd","http://buff.ly/133y1gQ"
"359350362630660096","","","","","2013-07-22 16:32:57 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I liked a @YouTube video http://t.co/VylfYZhaQt Ubuntu Edge: introducing the hardware","http://youtu.be/eQLe3iIMN7k?a"
"359345627378876416","","","","","2013-07-22 16:14:08 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Contactos Bancarios :: Add-ons for Firefox http://t.co/rAC907vSoA Para agilitar las transferencias en el Banco Pichincha.","http://buff.ly/15ZxQbH"
"358353348656766976","358344923919032324","473347939","","","2013-07-19 22:31:10 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@sriecuador Ok gracias, eso fue lo que me dijeron al llamar al 1700 SRI SRI"
"358255964186611712","","473347939","","","2013-07-19 16:04:12 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@sriecuador cuánto tiempo hay que esperar en el sistema de pruebas de comprobantes electrónicos? antes de poder pasar a producción"
"357626707093635073","","","","","2013-07-17 22:23:46 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","(2/2) el SRI debería advertir en su página web que el certificado que deben adquirir debe ser con token no archivo cc @sriecuador"
"357626529347403779","","","","","2013-07-17 22:23:03 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","(1/2) escribiendo un poco de java a los tiempos para poder firmar una factura con archivo de certificado digital cc @sriecuador"
"357608240592748544","","","357603175953473536","709433","2013-07-17 21:10:23 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @peeja: Git tip: `-` is often an alias for the last branch you were on. You may know `git checkout -`, but did you know `git merge -`?"
"357478701090353152","","","","","2013-07-17 12:35:38 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","I submitted an add-on to the #ampyourfirefox contest! https://t.co/O6x2NAELz1 #amo #addons via @mozamo","https://blog.mozilla.org/addons/amp-your-firefox/"
"356890923273175041","","473347939","","","2013-07-15 21:40:01 +0000","web","@sriecuador buenas tardes, cómo puedo configurar el sistema de comprobantes electrónicos con un certificado digital en archivo .p12?"
"356787303991500800","","","356715551227248642","564919357","2013-07-15 14:48:16 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @iamdevloper: Developers aren't paid to type, they're paid to think."
"356784257571618816","","","","","2013-07-15 14:36:10 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","que feo es esperar ser atendido en las instituciones públicas..."
"356744152219791363","","","356697308458532866","37950308","2013-07-15 11:56:48 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @fabricedesre: We're working on bringing add-ons back in #firefoxOS : tell us what you want at https://t.co/JmEC4tbzDg","https://groups.google.com/forum/#!topic/mozilla.dev.b2g/NXyjt32lGOc"
"356398061787947008","","","355619613729497088","16219635","2013-07-14 13:01:34 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @ryanseddon: Chrome dev tools pro tip: copy(JSON.stringify(data, null, 2)) for nifty formatted JSON to your clipboard."
